date,SMALL LoBM,ME1 BM2,ME1 BM3,ME1 BM4,SMALL HiBM,ME2 BM1,ME2 BM2,ME2 BM3,ME2 BM4,ME2 BM5,ME3 BM1,ME3 BM2,ME3 BM3,ME3 BM4,ME3 BM5,ME4 BM1,ME4 BM2,ME4 BM3,ME4 BM4,ME4 BM5,BIG LoBM,ME5 BM2,ME5 BM3,ME5 BM4,BIG HiBM
193011,0.197776,-0.154883,-0.044972000000000005,-0.023014999999999997,-0.034217,-0.054429,0.023189,-0.039009999999999996,-0.023523000000000002,-0.043808,-0.009739,-0.004973,-0.024571,0.020966,-0.054577,-0.007649,0.0057410000000000004,-0.022147,-0.053994,0.020773,-0.023974000000000002,-0.014632000000000001,-0.049576,-0.073197,-0.125
193012,-0.183651,-0.251568,-0.24386500000000003,-0.13569599999999998,-0.173075,-0.14127599999999998,-0.11728,-0.128476,-0.168044,-0.186094,-0.054561,-0.090864,-0.07653,-0.116194,-0.1911,-0.07949200000000001,-0.08937200000000001,-0.11723599999999999,-0.118143,-0.16386299999999998,-0.054467999999999996,-0.082008,-0.073179,-0.108763,-0.3
193101,-0.26556599999999997,0.221097,0.157748,0.168529,0.19308399999999998,0.132408,0.112376,0.132522,0.148844,0.159307,0.109679,0.087517,0.095193,0.089545,0.210718,0.076441,0.067711,0.051210000000000006,0.10626799999999999,0.11803599999999999,0.043651999999999996,0.046803,0.076781,0.171219,0.346939
193102,0.214578,0.20677900000000002,0.48660899999999996,0.24013500000000002,0.232662,0.097238,0.110438,0.10338900000000001,0.11562099999999999,0.1552,0.153065,0.145442,0.12790800000000002,0.09933299999999999,0.12597899999999998,0.131201,0.116887,0.084289,0.068825,0.170764,0.139632,0.09141500000000001,0.050381,0.071,0.424242
193103,-0.077442,0.007521,-0.0178,-0.048964,-0.085805,-0.015545,-0.084859,0.043094,-0.056666999999999995,0.012712000000000001,-0.013052,-0.07409099999999999,-0.040222,-0.053846,-0.126798,-0.068601,-0.065009,-0.08575799999999999,-0.10449299999999999,-0.003328,-0.038088000000000004,-0.084205,-0.096718,-0.110898,-0.196809
193104,-0.152608,-0.256785,-0.21692,-0.145999,-0.164348,-0.16660699999999998,-0.17412299999999997,-0.11858,-0.146294,-0.210112,-0.113645,-0.139537,-0.130329,-0.178359,-0.176793,-0.135885,-0.107979,-0.157012,-0.14047700000000002,-0.042043,-0.08946300000000001,-0.082001,-0.107437,-0.107184,-0.238411
193105,-0.084409,0.012584999999999999,-0.17638600000000001,-0.116451,-0.154409,-0.07703,-0.08211700000000001,-0.05769,-0.11126,-0.11986599999999999,-0.166876,-0.129578,-0.094385,-0.130784,-0.16527799999999998,-0.108396,-0.122573,-0.164486,-0.255837,-0.259812,-0.11659900000000001,-0.113512,-0.178715,-0.18059799999999998,-0.22608699999999998
193106,0.198341,0.068787,0.140651,0.152672,0.175951,0.09890399999999999,0.083779,0.020695,0.12364900000000001,0.211092,0.138685,0.113995,0.077628,0.18654900000000002,0.327999,0.14956,0.150213,0.190549,0.331059,0.254751,0.128073,0.140288,0.153728,0.222095,0.40449399999999996
193107,-0.063445,-0.11400199999999999,-0.096939,-0.070332,-0.053212999999999996,-0.05267,-0.052615999999999996,-0.075668,-0.061315999999999996,-0.073422,-0.064813,-0.076122,-0.09941599999999999,-0.08469099999999999,-0.128309,-0.053303,-0.049131,-0.08285000000000001,-0.09077099999999999,-0.135493,-0.053381,-0.069532,-0.113183,-0.128162,0.0
193108,-0.1322,-0.002852,-0.050247,-0.052131,-0.050501,0.047199,-0.005346,0.031215000000000003,-0.015241,-0.047862,0.010672,-0.0071330000000000005,-0.013037,-0.032907,-0.046482,-0.010405,-0.019302,0.017397,0.037982999999999996,0.066549,0.005716,0.018447,-0.013046,-0.032548,0.084337
