target_success,upper_guardrail,lower_guardrail,adjustment_pct,adjustment_mode,min_remaining_years,n_complete,success_rate,median_funded,p10_funded,median_cr,p10_cr,median_fr,p10_fr,median_cv,median_min_wd,p10_min_wd,median_adj,score
0.600000,0.900000,0.500000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.273820,1.646729,1.323495,0.999001,0.303185,39704.854217,29970.018968,15.000000,2.553188
0.750000,0.900000,0.500000,0.500000,success_rate,5,36,0.833333,1.000000,1.000000,2.590822,1.821979,1.215196,0.977212,0.378262,36455.882353,29316.366869,18.500000,2.552904
0.700000,0.900000,0.300000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.212438,1.595159,1.349444,1.001266,0.289834,40483.333333,30037.992011,10.500000,2.552903
0.600000,0.900000,0.200000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.080498,1.532646,1.411989,0.943665,0.261967,42359.681160,28309.939159,9.000000,2.552858
0.800000,0.900000,0.700000,0.500000,success_rate,5,36,0.833333,1.000000,1.000000,2.883794,2.016568,1.168056,0.912038,0.484634,35041.666667,27361.126270,32.000000,2.552203
0.750000,0.900000,0.600000,0.500000,amount,5,36,0.833333,1.000000,1.000000,2.734303,1.905047,1.190000,0.967916,0.431482,35700.000000,29037.465265,25.000000,2.551838
0.600000,0.900000,0.500000,0.750000,amount,20,36,1.000000,1.000000,1.000000,2.233689,1.609783,1.323495,0.999001,0.273649,39704.854217,29970.018968,13.000000,2.551786
0.700000,0.900000,0.600000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.491320,1.751705,1.246285,0.911891,0.360855,37388.540204,27356.742062,21.000000,2.544685
0.600000,0.900000,0.400000,0.500000,success_rate,20,36,1.000000,1.000000,1.000000,2.166368,1.521340,1.355714,0.998669,0.267997,40671.428571,29960.084224,13.000000,2.543427
0.750000,0.900000,0.700000,0.750000,amount,5,36,0.805556,1.000000,1.000000,2.800394,1.962985,1.184410,0.888057,0.466496,35532.310624,26641.697460,27.500000,2.543176
0.700000,0.900000,0.300000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.207987,1.596053,1.357618,0.989322,0.303298,40728.536066,29679.660341,10.000000,2.543019
0.700000,0.900000,0.200000,0.750000,success_rate,10,36,1.000000,1.000000,1.000000,2.156693,1.621547,1.369500,0.993043,0.278081,41085.000000,29791.280009,10.000000,2.542922
0.600000,0.900000,0.300000,0.500000,success_rate,10,36,1.000000,1.000000,1.000000,2.157811,1.545797,1.355714,0.991950,0.261739,40671.428571,29758.499934,13.000000,2.542533
0.700000,0.900000,0.200000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.174699,1.624968,1.349444,0.924782,0.268385,40483.333333,27743.465131,10.000000,2.540829
0.600000,0.900000,0.500000,1.000000,amount,5,36,0.666667,1.000000,1.000000,2.470604,1.792168,1.275109,0.942405,0.389070,38253.271781,28272.152091,16.000000,2.537448
0.600000,0.900000,0.500000,1.000000,success_rate,5,36,0.666667,1.000000,1.000000,2.470604,1.792168,1.275109,0.942405,0.389070,38253.271781,28272.152091,16.000000,2.537448
0.600000,0.900000,0.500000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.233896,1.596577,1.314906,0.989352,0.272601,39447.166826,29680.546361,12.500000,2.536999
0.700000,0.900000,0.500000,0.500000,success_rate,10,36,1.000000,1.000000,1.000000,2.377499,1.705554,1.267094,0.987477,0.316507,38012.820513,29624.296683,18.000000,2.535774
0.600000,0.900000,0.200000,0.500000,success_rate,10,36,1.000000,1.000000,1.000000,2.100080,1.526383,1.355714,0.993933,0.218761,40671.428571,29817.981596,10.000000,2.535690
0.600000,0.900000,0.200000,0.500000,amount,10,36,1.000000,1.000000,1.000000,2.189599,1.544932,1.312500,1.048598,0.235729,39375.000000,31457.930385,12.500000,2.535124
0.600000,0.900000,0.500000,0.500000,amount,20,36,1.000000,1.000000,1.000000,2.221138,1.554016,1.312500,1.033903,0.261080,39375.000000,31017.103668,18.000000,2.534688
0.750000,0.900000,0.500000,0.750000,success_rate,15,36,1.000000,1.000000,1.000000,2.400717,1.688480,1.268362,0.965949,0.335847,38050.850156,28978.456447,14.500000,2.533654
0.800000,0.900000,0.400000,0.750000,success_rate,5,36,0.750000,1.000000,1.000000,2.622673,1.871229,1.230637,0.958077,0.430420,36919.117647,28742.313141,17.000000,2.532956
0.800000,0.900000,0.300000,0.750000,success_rate,5,36,0.750000,1.000000,1.000000,2.622673,1.871229,1.230637,0.958077,0.430420,36919.117647,28742.313141,17.000000,2.532956
0.700000,0.900000,0.400000,1.000000,success_rate,5,36,0.694444,1.000000,0.984615,2.673954,1.935994,1.215526,0.923479,0.441401,36465.771811,27704.382573,13.000000,2.532925
0.700000,0.900000,0.400000,1.000000,amount,5,36,0.694444,1.000000,0.984615,2.673954,1.935994,1.215526,0.923479,0.441401,36465.771811,27704.382573,13.000000,2.532925
0.800000,0.900000,0.400000,0.750000,amount,5,36,0.777778,1.000000,1.000000,2.599992,1.862608,1.220513,0.985489,0.404446,36615.384615,29564.679975,17.000000,2.531605
0.800000,0.900000,0.300000,0.750000,amount,5,36,0.777778,1.000000,1.000000,2.599992,1.862608,1.220513,0.985489,0.404446,36615.384615,29564.679975,17.000000,2.531605
0.800000,0.900000,0.600000,0.750000,amount,10,36,1.000000,1.000000,1.000000,2.599443,1.809339,1.216224,0.928927,0.399325,36486.717372,27867.818793,23.000000,2.530271
0.750000,0.900000,0.200000,1.000000,success_rate,5,36,0.611111,1.000000,0.984615,2.449323,1.831792,1.281453,0.795626,0.387716,38443.604648,23868.789450,13.000000,2.530234
0.750000,0.900000,0.200000,1.000000,amount,5,36,0.611111,1.000000,0.984615,2.449323,1.831792,1.281453,0.795626,0.387716,38443.604648,23868.789450,13.000000,2.530234
0.600000,0.900000,0.200000,0.750000,amount,15,36,1.000000,1.000000,1.000000,2.063734,1.566581,1.418586,0.914049,0.271491,42557.566851,27421.482545,9.000000,2.530176
0.800000,0.900000,0.600000,0.500000,success_rate,5,36,0.833333,1.000000,1.000000,2.788640,1.948847,1.168056,0.926986,0.446994,35041.666667,27809.575820,24.000000,2.529292
0.750000,0.900000,0.500000,0.750000,amount,20,36,1.000000,1.000000,1.000000,2.339723,1.642448,1.280525,0.976756,0.313036,38415.744306,29302.691853,13.000000,2.527133
0.750000,0.900000,0.600000,0.750000,success_rate,20,36,1.000000,1.000000,1.000000,2.369519,1.690686,1.268753,0.964423,0.320004,38062.579122,28932.700100,16.000000,2.525313
0.700000,0.900000,0.400000,0.500000,amount,5,36,0.750000,1.000000,1.000000,2.467941,1.768905,1.232963,1.022849,0.340344,36988.888889,30685.460495,16.000000,2.525067
0.750000,0.900000,0.400000,0.500000,success_rate,5,36,0.750000,1.000000,1.000000,2.529284,1.772846,1.215196,0.998822,0.356973,36455.882353,29964.665601,16.000000,2.524984
0.750000,0.900000,0.300000,0.500000,success_rate,5,36,0.750000,1.000000,1.000000,2.504143,1.738877,1.215196,1.156658,0.341206,36455.882353,34699.744823,15.000000,2.523875
