target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,funded_ratio,eff_success,eff_funded,median_cew,p10_cew,p10_avg_wd,p50_avg_wd,p90_avg_wd,p90_max_drop,mean_years_below_floor,seed
0.75,0.9,0.1,0.2,amount,1,40450.0,0.04045,0.734,0.9733200000000001,0.6535,0.90149,50455.257445424606,2.0520971779382373e-09,25047.016382697217,80234.65125404854,296388.56778343517,1.0,4.863,42
0.75,0.9,0.1,0.2,amount,3,40450.0,0.04045,0.7375,0.97339,0.6555,0.9015299999999999,50544.375986776286,2.0520971779382373e-09,25020.212894206637,78568.8737864847,285212.40956687846,1.0,4.8735,42
0.75,0.9,0.1,0.2,amount,5,40450.0,0.04045,0.755,0.9738399999999999,0.6585,0.9015799999999999,50862.463264310136,2.0520971779382373e-09,24825.060009803896,76507.22987079283,274531.8193441734,1.0,4.8985,42
0.75,0.9,0.1,0.2,amount,10,40450.0,0.04045,0.8255,0.9766,0.688,0.90157,52755.16890299976,2.0520971779382674e-09,24696.583802029207,72695.35341870468,252324.05146046527,1.0,4.9485,42
0.75,0.9,0.1,0.2,success_rate,1,40450.0,0.04045,0.99,0.99939,0.7365,0.88897,55854.26307622719,20919.623810426452,27811.443827809675,82626.18844895466,301081.4520001099,0.5511517492379889,4.2415,42
0.75,0.9,0.1,0.2,success_rate,3,40450.0,0.04045,0.994,0.9994700000000001,0.721,0.88866,55415.29572785186,20823.663027273073,27422.97523595329,79938.04328321182,281463.2618595211,0.648222479361711,4.3535,42
0.75,0.9,0.1,0.2,success_rate,5,40450.0,0.04045,0.995,0.9995,0.7085,0.88779,55233.588871578395,20528.29658159336,26993.418215366117,78092.43199619462,271790.5629610978,0.5859880622401384,4.4255,42
0.75,0.9,0.1,0.2,success_rate,10,40450.0,0.04045,0.9955,0.99954,0.703,0.88573,54623.83077283762,20147.905579242903,26475.075824781692,73867.3569041671,246278.76471921257,0.5546071488465476,4.6395,42
0.75,0.9,0.1,0.25,amount,1,40450.0,0.04045,0.798,0.9846600000000001,0.668,0.90152,51265.33803452278,4.187099081864953e-09,25720.579431072605,80052.04169880052,292684.5979440529,1.0,4.747,42
0.75,0.9,0.1,0.25,amount,3,40450.0,0.04045,0.8045,0.98479,0.672,0.9016000000000001,51387.50970168539,4.187099081864953e-09,25644.407440866515,78449.52828367593,283006.1436665094,1.0,4.765,42
0.75,0.9,0.1,0.25,amount,5,40450.0,0.04045,0.828,0.9853700000000001,0.6805,0.9017000000000001,52145.84149874597,4.187099081864996e-09,25528.898124646927,76660.61893667704,272530.0728425123,1.0,4.799,42
0.75,0.9,0.1,0.25,amount,10,40450.0,0.04045,0.8995,0.9881300000000001,0.6955,0.90132,53358.03406333945,8.45794014536735e-09,25237.06620018867,72612.32989156799,247490.9531618995,1.0,4.891,42
0.75,0.9,0.1,0.25,success_rate,1,40450.0,0.04045,0.9895,0.9993500000000001,0.732,0.88475,55934.69033120746,21180.534394646733,28037.621687635325,82088.92996023133,292902.84574356576,0.5663020020845079,4.203,42
0.75,0.9,0.1,0.25,success_rate,3,40450.0,0.04045,0.9945,0.9994500000000001,0.718,0.88447,55462.11819870428,21017.731779378097,27655.321149884276,79861.6145472048,275055.4717634014,0.6667419645744868,4.3205,42
0.75,0.9,0.1,0.25,success_rate,5,40450.0,0.04045,0.9945,0.9994500000000001,0.6995,0.8835400000000001,55260.34834580148,20705.517197545567,27389.981114120303,77777.03919015496,265564.46076516405,0.5945959353525939,4.414,42
0.75,0.9,0.1,0.25,success_rate,10,40450.0,0.04045,0.9955,0.9995299999999999,0.695,0.88161,54536.7653751414,20290.789109456156,26773.47975163136,73722.99557303173,242716.11674640854,0.5684407157462252,4.612,42
0.75,0.9,0.2,0.05,amount,1,40450.0,0.04045,0.7275,0.91938,0.726,0.9168399999999999,51989.602560869214,3.703035588453468e-10,22161.974935533897,74925.60553278658,272552.4945355839,1.0,4.192,42
