target,upper,lower,adj,mode,min_remain,envs_total,envs_top_effFR,envs_top_cew,envs_top_both,mean_eff_funded,min_eff_funded,mean_median_cew,min_median_cew,mean_swr,min_swr,mean_eff_sr,pct_top_effFR,pct_top_cew,pct_top_both
0.85,0.9,0.5,0.25,amount,10,54,0,6,0,0.8410318415637861,0.6122888888888889,37352.342779928455,2.4733822537515934e-10,0.038638528141382585,0.0311785714285714,0.6737777777777778,0.0,0.1111111111111111,0.0
0.85,0.9,0.5,0.25,success_rate,1,54,0,33,0,0.820348353909465,0.5794777777777778,38417.148691229646,2.2812827499713316e-10,0.038638528141382585,0.0311785714285714,0.6350277777777777,0.0,0.6111111111111112,0.0
0.85,0.9,0.5,0.25,success_rate,3,54,0,36,0,0.8203943930041153,0.5795666666666667,38271.56188306718,2.2812827499713316e-10,0.038638528141382585,0.0311785714285714,0.6362407407407408,0.0,0.6666666666666666,0.0
0.85,0.9,0.7,0.15,success_rate,1,54,0,24,0,0.8314176440329218,0.5993888888888889,37829.69215020264,2.473382253751593e-10,0.038638528141382585,0.0311785714285714,0.6581944444444444,0.0,0.4444444444444444,0.0
0.85,0.9,0.7,0.15,success_rate,3,54,0,0,0,0.8314520576131686,0.5994333333333334,37698.35257691896,2.473382253751593e-10,0.038638528141382585,0.0311785714285714,0.6590648148148148,0.0,0.0,0.0
0.85,0.9,0.7,0.15,success_rate,5,54,0,3,0,0.831474074074074,0.5995666666666666,37578.99176698651,2.473382253751593e-10,0.038638528141382585,0.0311785714285714,0.6608333333333334,0.0,0.05555555555555555,0.0
0.85,0.9,0.7,0.2,success_rate,1,54,0,33,0,0.8253239197530865,0.5892555555555556,38039.12453462738,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6485833333333333,0.0,0.6111111111111112,0.0
0.85,0.9,0.7,0.2,success_rate,3,54,0,36,0,0.825384670781893,0.5893222222222222,37908.97747927458,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6503796296296296,0.0,0.6666666666666666,0.0
0.85,0.9,0.7,0.2,success_rate,5,54,0,21,0,0.8254376543209877,0.5893555555555556,37818.854659806784,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.6524722222222222,0.0,0.3888888888888889,0.0
0.85,0.9,0.7,0.2,success_rate,10,54,0,3,0,0.8254553497942387,0.5896333333333335,37227.76183698789,2.374401684160199e-10,0.038638528141382585,0.0311785714285714,0.659962962962963,0.0,0.05555555555555555,0.0
