target,upper,lower,adj,mode,min_remain,init_wd,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,mean_years_below_floor,passes_eff_sr,passes_p10_wd,passes_years_below,gating_pass
0.75,0.9,0.7,0.1,success_rate,5,42186.04651162791,0.04218604651162791,0.9945,0.7765,0.90144,58369.4753580292,30089.944342287516,3.49,False,True,True,False
0.75,0.9,0.7,0.1,success_rate,10,42186.04651162791,0.04218604651162791,0.995,0.769,0.90026,58004.956909905006,28802.54720428817,3.69,False,True,True,False
0.75,0.9,0.7,0.15,amount,1,42186.04651162791,0.04218604651162791,0.8685,0.764,0.9129700000000001,55441.0472010887,30357.830430501108,3.37,False,True,True,False
0.75,0.9,0.7,0.15,amount,3,42186.04651162791,0.04218604651162791,0.8695,0.764,0.9129700000000001,55433.95375730413,30146.88535668008,3.382,False,True,True,False
0.75,0.9,0.7,0.15,amount,5,42186.04651162791,0.04218604651162791,0.879,0.7675,0.91303,55392.45532053828,29874.870882781368,3.405,False,True,True,False
0.75,0.9,0.7,0.15,amount,10,42186.04651162791,0.04218604651162791,0.9095,0.782,0.9131600000000001,56245.29599426284,28895.55012045603,3.5025,False,True,True,False
0.75,0.9,0.7,0.15,success_rate,1,42186.04651162791,0.04218604651162791,0.991,0.791,0.8951099999999999,59042.140638240286,32719.35878689125,3.1535,False,True,True,False
0.75,0.9,0.7,0.15,success_rate,3,42186.04651162791,0.04218604651162791,0.995,0.7855,0.895,58817.74797214707,31916.57487958459,3.218,False,True,True,False
0.75,0.9,0.7,0.15,success_rate,5,42186.04651162791,0.04218604651162791,0.996,0.776,0.89452,58566.97486030491,31133.653644881935,3.291,False,True,True,False
0.75,0.9,0.7,0.15,success_rate,10,42186.04651162791,0.04218604651162791,0.9965,0.764,0.89303,57954.0188196409,29903.313380205924,3.491,False,True,True,False
0.75,0.9,0.7,0.2,amount,1,42186.04651162791,0.04218604651162791,0.908,0.7675,0.90547,56048.061390563125,32131.639618099467,3.1735,False,True,True,False
0.75,0.9,0.7,0.2,amount,3,42186.04651162791,0.04218604651162791,0.9105,0.7685,0.90549,56190.55120706739,31725.084243986108,3.1925,False,True,True,False
0.75,0.9,0.7,0.2,amount,5,42186.04651162791,0.04218604651162791,0.9185,0.7725,0.90556,56380.34915723263,31216.22597336401,3.224,False,True,True,False
0.75,0.9,0.7,0.2,amount,10,42186.04651162791,0.04218604651162791,0.9545,0.783,0.90546,57400.91097613386,29694.38324612521,3.3515,False,True,True,False
0.75,0.9,0.7,0.2,success_rate,1,42186.04651162791,0.04218604651162791,0.9925,0.789,0.8890699999999999,59175.14519201967,33470.717326980805,3.034,False,True,True,False
0.75,0.9,0.7,0.2,success_rate,3,42186.04651162791,0.04218604651162791,0.9955,0.782,0.8889300000000001,58985.536482963194,32627.127576278024,3.1075,False,True,True,False
0.75,0.9,0.7,0.2,success_rate,5,42186.04651162791,0.04218604651162791,0.9965,0.7725,0.8884699999999999,58779.33999496051,32095.19106094452,3.1805,False,True,True,False
0.75,0.9,0.7,0.2,success_rate,10,42186.04651162791,0.04218604651162791,0.9975,0.7595,0.88694,58176.85954218096,30373.20071325817,3.366,False,True,True,False
