target,upper,lower,adj,mode,min_remain,swr_mean,swr_std,success_rate_mean,success_rate_std,funded_ratio_mean,funded_ratio_std,eff_success_mean,eff_success_std,eff_funded_mean,eff_funded_std,median_cew_mean,median_cew_std,p10_cew_mean,p10_cew_std,p10_avg_wd_mean,p10_avg_wd_std,p50_avg_wd_mean,p50_avg_wd_std,p90_avg_wd_mean,p90_avg_wd_std,p90_max_drop_mean,p90_max_drop_std,mean_years_below_floor_mean,mean_years_below_floor_std,init_wd_mean,init_wd_std,n_seeds
0.75,0.9,0.2,0.05,success_rate,3,0.04045,0.0,0.994,0.0,0.99925,0.0,0.7543,0.00044721359549999476,0.9035040000000001,0.0001348332303254582,54303.08141711952,12.347067469452552,18884.822141916586,9.589758675711591,26396.436303674815,7.158366022904644,84119.71591965805,40.33612322178129,326526.15559718164,339.91737165141404,0.6135271061075087,5.274369566869767e-05,4.2466,0.006822756041366067,40450.0,0.0,5
0.75,0.9,0.2,0.05,success_rate,5,0.04045,0.0,0.9949999999999999,0.0,0.99928,0.0,0.7484,0.0004183300132670556,0.9030699999999999,0.00013765899897939387,54277.23524694133,26.248732458848284,18990.78638822746,16.513913119177616,26157.707615809897,26.799136633933855,80424.24522098605,74.83790684531964,305464.5392472766,166.14346928377083,0.5574658873670681,0.0002499609372001112,4.3,0.0070089228844377564,40450.0,0.0,5
0.75,0.9,0.2,0.05,success_rate,10,0.04045,0.0,0.9955,0.0,0.99932,0.0,0.7452,0.0002738612787525774,0.9017299999999999,0.00015668439615995313,53914.603583762735,11.182460693134914,18928.97618139151,29.518328996744355,25730.02325291904,19.483799314087474,75036.25781143543,111.71299556250075,264054.6865612731,113.61255084312539,0.4995403351826866,0.0007374082607826513,4.4286,0.00777335191535831,40450.0,0.0,5
0.75,0.9,0.2,0.1,amount,1,0.04045,0.0,0.7152999999999999,0.00044721359549992993,0.9459160000000001,9.633275663030073e-05,0.6923,0.00044721359549996224,0.9139420000000001,0.00011734564329360577,51594.06753432178,21.216399977580245,6.950561216718599e-10,1.4025529674945813e-24,23918.161285484362,11.2396274115382,79414.35988076562,124.76164603152189,301818.48419872485,12.685333943709294,1.0,0.0,4.3555,0.0059371710435190276,40450.0,0.0,5
0.75,0.9,0.2,0.1,amount,3,0.04045,0.0,0.7152999999999999,0.00044721359549992993,0.9459160000000001,9.633275663030073e-05,0.6918,0.0004472135954999658,0.913932,0.00011734564329367019,51548.91947763895,25.518895679200202,6.950561216718599e-10,1.4025529674945813e-24,23899.99996269876,5.255962616792982,77917.13455590999,152.7760742011566,291817.7426911664,30.212210222670542,1.0,0.0,4.3589,0.0061175975676730915,40450.0,0.0,5
0.75,0.9,0.2,0.1,amount,5,0.04045,0.0,0.7199,0.0005477225575052034,0.946036,8.173126696682283e-05,0.6931999999999999,0.0002738612787525774,0.9139380000000001,0.00011031772296414484,51555.66471471859,14.268850535541851,6.950561216718599e-10,1.4025529674945813e-24,23896.310294001876,7.315587705118047,76349.99300704357,31.294595443171595,279129.977157099,1.5149046311030052,1.0,0.0,4.3631,0.00575977430113346,40450.0,0.0,5
0.75,0.9,0.2,0.1,amount,10,0.04045,0.0,0.7525999999999999,0.00022360679775004278,0.947166,9.126883367283317e-05,0.7161,0.00022360679775004278,0.9144019999999999,0.0001109954954041171,52003.67516186475,29.14686346083761,6.950561216718599e-10,1.4025529674945813e-24,23826.393363009098,24.701685359138683,72931.27984405468,113.03178917644551,253830.50045680674,31.526494000974758,1.0,0.0,4.3698999999999995,0.00578143580782501,40450.0,0.0,5
0.75,0.9,0.2,0.1,success_rate,1,0.04045,0.0,0.9879999999999999,0.0,0.99935,0.0,0.7636,0.00022360679774997814,0.898222,0.00015270887335054067,55457.46739496554,11.466031187587802,21714.348819526476,26.75734429650853,27945.67790641727,5.885271798049254,85888.88650693219,73.13025773250469,325335.0675602382,58.87128887914195,0.5009699697422555,0.0014465708834928855,3.9916000000000005,0.008488227141164343,40450.0,0.0,5
0.75,0.9,0.2,0.1,success_rate,3,0.04045,0.0,0.994,0.0,0.99947,0.0,0.7562,0.0002738612787525563,0.898074,0.0001567801007781528,55124.87896052397,18.602690099857934,21672.466536985314,33.63921299611552,27713.63056801767,10.630418525808304,82983.56053601648,121.48412022346778,306741.509389014,97.56412022214778,0.6133547170256773,0.0011265349393117753,4.0725999999999996,0.009607288899580341,40450.0,0.0,5
0.75,0.9,0.2,0.1,success_rate,5,0.04045,0.0,0.9949999999999999,0.0,0.9995,0.0,0.7421,0.00022360679775004278,0.8974420000000001,0.00015270887335060317,55037.202973333086,13.31990391115575,21457.371534602094,7.000904422170716,27385.325286595034,3.681609186875621,80003.63308613983,44.28131175914177,290304.1609489766,205.08346436258446,0.5635213379900088,0.0001624238823023685,4.1411,0.008196035627057605,40450.0,0.0,5
