target,upper,lower,adj,mode,min_remain,swr,success_rate,eff_success,eff_funded,median_cew,p10_avg_wd,init_wd,alloc,years,with_cfs,floor,env
0.85,0.9,0.5,0.2,success_rate,5,0.04081250000000001,0.9935,0.894,0.9691000000000002,59289.620663873095,35632.76951319013,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.15,success_rate,1,0.04081250000000001,0.9915,0.9185,0.9717666666666667,59971.52421871554,37465.28965166837,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.25,success_rate,1,0.04081250000000001,0.9915,0.919,0.96825,59983.18749199358,38730.87474751852,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.2,success_rate,1,0.04081250000000001,0.9915,0.921,0.9706666666666668,60010.93168703249,38237.46870760967,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.25,success_rate,5,0.04081250000000001,0.9935,0.8995,0.9670166666666666,59240.74500332366,36139.12314356344,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.2,success_rate,3,0.04081250000000001,0.9935,0.9155,0.9704833333333334,59445.77482325335,36905.974151659946,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.2,0.25,success_rate,1,0.04081250000000001,0.9915,0.9065,0.9681666666666666,59908.32344819745,37005.52307714916,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.25,success_rate,3,0.04081250000000001,0.9935,0.9175,0.9682000000000001,59547.7375087381,37183.29723400803,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.25,success_rate,5,0.04081250000000001,0.9935,0.904,0.9674333333333334,58903.85610285532,36229.436462254926,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.15,success_rate,3,0.04081250000000001,0.9935,0.9085,0.9714333333333333,59451.38923611351,36526.96012804339,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.2,success_rate,1,0.04081250000000001,0.9915,0.922,0.9704666666666667,59820.86973103898,38411.2548351419,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.2,success_rate,5,0.04081250000000001,0.9935,0.902,0.9696333333333333,58967.60688269581,35862.85842218591,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.2,success_rate,3,0.04081250000000001,0.9935,0.9195,0.9703833333333334,59251.73711725457,36914.76476092863,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.15,success_rate,1,0.04081250000000001,0.9915,0.924,0.9722666666666666,59547.68605615286,37891.39009684777,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.25,success_rate,1,0.04081250000000001,0.9915,0.919,0.9700666666666667,59831.57882807205,38225.02112229981,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.15,success_rate,5,0.04081250000000001,0.9935,0.896,0.9703833333333334,58873.70730134197,35447.39634582577,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.2,0.2,success_rate,1,0.04081250000000001,0.9915,0.904,0.9692833333333333,59587.453132525654,36931.83191558532,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.2,success_rate,5,0.04081250000000001,0.9935,0.905,0.96955,58714.99247384918,35899.35795311925,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.15,success_rate,3,0.04081250000000001,0.9935,0.915,0.9719666666666666,59135.602140237424,36613.66684766696,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.8,0.15,success_rate,1,0.04081250000000001,0.9915,0.925,0.97255,59333.64758722989,38020.33074427153,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.2,success_rate,1,0.04081250000000001,0.9915,0.9195,0.9710166666666666,59460.02681547421,37976.95882199422,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,amount,1,0.04081250000000001,0.946,0.9065,0.9797333333333333,59393.150552958825,37100.354329044174,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.95,0.5,0.25,success_rate,3,0.04081250000000001,0.9935,0.9135,0.9698833333333334,59238.81597089158,36691.63683746901,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.7,0.25,success_rate,10,0.04081250000000001,1.0,0.888,0.9645166666666667,57147.23871019474,33845.584067224285,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
0.85,0.9,0.5,0.25,amount,3,0.04081250000000001,0.9475,0.9065,0.9797333333333333,59219.40335270018,36399.634604592764,40812.50000000001,pool_optimal_10_80_10,30,False,0.4,pool_optimal_10_80_10|y30|cf0|fl0.40
